annee;departement;population_20_59
2003;Ain;295934
2003;Aisne;283341
2003;Allier;174952
2003;Alpes-Maritimes;534597
2003;Alpes-de-Haute-Provence;75103
2003;Ardennes;152282
2003;Ardèche;152844
2003;Ariège;71649
2003;Aube;157398
2003;Aude;165022
2003;Aveyron;134466
2003;Bas-Rhin;595476
2003;Bouches-du-Rhône;1022710
2003;Calvados;355767
2003;Cantal;77544
2003;Charente;178977
2003;Charente-Maritime;295024
2003;Cher;162824
2003;Corrèze;119944
2003;Corse;148684
2003;Creuse;59930
2003;Côte-d'Or;281068
2003;Côtes-d'Armor;279365
2003;Deux-Sèvres;183132
2003;Dordogne;197881
2003;Doubs;278888
2003;Drôme;237630
2003;Essonne;662122
2003;Eure;300022
2003;Eure-et-Loir;221441
2003;Finistère;453385
2003;Gard;343312
2003;Gers;88247
2003;Gironde;748511
2003;Guadeloupe;209967
2003;Guyane;91463
2003;Haut-Rhin;399087
2003;Haute-Garonne;645573
2003;Haute-Loire;110422
2003;Haute-Marne;99437
2003;Haute-Savoie;375279
2003;Haute-Saône;123234
2003;Haute-Vienne;191990
2003;Hautes-Alpes;66262
2003;Hautes-Pyrénées;115922
2003;Hauts-de-Seine;863259
2003;Hérault;509347
2003;Ille-et-Vilaine;498483
2003;Indre;117386
2003;Indre-et-Loire;304391
2003;Isère;625638
2003;Jura;131938
2003;La Réunion;399984
2003;Landes;178970
2003;Loir-et-Cher;163979
2003;Loire;384191
2003;Loire-Atlantique;648548
2003;Loiret;340183
2003;Lot;81808
2003;Lot-et-Garonne;158275
2003;Lozère;39212
2003;Maine-et-Loire;399005
2003;Manche;247488
2003;Marne;314549
2003;Martinique;208924
2003;Mayenne;151022
2003;Meurthe-et-Moselle;395109
2003;Meuse;101522
2003;Morbihan;348618
2003;Moselle;569614
2003;Nièvre;111417
2003;Nord;1388190
2003;Oise;433809
2003;Orne;148878
2003;Paris;1334155
2003;Pas-de-Calais;768756
2003;Puy-de-Dôme;339732
2003;Pyrénées-Atlantiques;325324
2003;Pyrénées-Orientales;206302
2003;Rhône;900487
2003;Sarthe;283870
2003;Savoie;212563
2003;Saône-et-Loire;281402
2003;Seine-Maritime;670025
2003;Seine-Saint-Denis;819409
2003;Seine-et-Marne;701222
2003;Somme;303286
2003;Tarn;179503
2003;Tarn-et-Garonne;111939
2003;Territoire de Belfort;76842
2003;Val-d'Oise;640502
2003;Val-de-Marne;726503
2003;Var;478980
2003;Vaucluse;271714
2003;Vendée;294829
2003;Vienne;219541
2003;Vosges;199764
2003;Yonne;172719
2003;Yvelines;773029
2006;Ain;307019
2006;Aisne;284460
2006;Allier;174018
2006;Alpes-Maritimes;546144
2006;Alpes-de-Haute-Provence;77791
2006;Ardennes;151754
2006;Ardèche;156353
2006;Ariège;73912
2006;Aube;159441
2006;Aude;172280
2006;Aveyron;136731
2006;Bas-Rhin;608173
2006;Bouches-du-Rhône;1037135
2006;Calvados;359950
2006;Cantal;77314
2006;Charente;180387
2006;Charente-Maritime;304675
2006;Cher;162421
2006;Corrèze;122474
2006;Corse;156367
2006;Creuse;60383
2006;Côte-d'Or;282623
2006;Côtes-d'Armor;285498
2006;Deux-Sèvres;186491
2006;Dordogne;200861
2006;Doubs;281306
2006;Drôme;243016
2006;Essonne;672819
2006;Eure;305492
2006;Eure-et-Loir;225005
2006;Finistère;461279
2006;Gard;355396
2006;Gers;90298
2006;Gironde;771085
2006;Guadeloupe;210620
2006;Guyane;101526
2006;Haut-Rhin;406184
2006;Haute-Garonne;677268
2006;Haute-Loire;112767
2006;Haute-Marne;97986
2006;Haute-Savoie;388949
2006;Haute-Saône;124500
2006;Haute-Vienne;194552
2006;Hautes-Alpes;67787
2006;Hautes-Pyrénées;116615
2006;Hauts-de-Seine;887880
2006;Hérault;529660
2006;Ille-et-Vilaine;519084
2006;Indre;117618
2006;Indre-et-Loire;307883
2006;Isère;639981
2006;Jura;132472
2006;La Réunion;419768
2006;Landes;186754
2006;Loir-et-Cher;166345
2006;Loire;384178
2006;Loire-Atlantique;672424
2006;Loiret;345412
2006;Lot;83819
2006;Lot-et-Garonne;161807
2006;Lozère;39831
2006;Maine-et-Loire;406067
2006;Manche;250577
2006;Marne;313561
2006;Martinique;210684
2006;Mayenne;153426
2006;Meurthe-et-Moselle;398634
2006;Meuse;102666
2006;Morbihan;360907
2006;Moselle;577517
2006;Nièvre;111021
2006;Nord;1399718
2006;Oise;440186
2006;Orne;149045
2006;Paris;1344684
2006;Pas-de-Calais;779396
2006;Puy-de-Dôme;341542
2006;Pyrénées-Atlantiques;333953
2006;Pyrénées-Orientales;215400
2006;Rhône;918074
2006;Sarthe;289362
2006;Savoie;218602
2006;Saône-et-Loire;280599
2006;Seine-Maritime;672193
2006;Seine-Saint-Denis;848420
2006;Seine-et-Marne;719710
2006;Somme;305459
2006;Tarn;184750
2006;Tarn-et-Garonne;117076
2006;Territoire de Belfort;78178
2006;Val-d'Oise;652129
2006;Val-de-Marne;742854
2006;Var;496060
2006;Vaucluse;277918
2006;Vendée;308946
2006;Vienne;223349
2006;Vosges;200587
2006;Yonne;174699
2006;Yvelines;774266
2008;Ain;312178
2008;Aisne;282499
2008;Allier;170525
2008;Alpes-Maritimes;547996
2008;Alpes-de-Haute-Provence;78130
2008;Ardennes;149723
2008;Ardèche;156160
2008;Ariège;75468
2008;Aube;157539
2008;Aude;172579
2008;Aveyron;135175
2008;Bas-Rhin;609832
2008;Bouches-du-Rhône;1041696
2008;Calvados;357582
2008;Cantal;75339
2008;Charente;180140
2008;Charente-Maritime;303845
2008;Cher;159219
2008;Corrèze;121041
2008;Corse;160867
2008;Creuse;59375
2008;Côte-d'Or;281815
2008;Côtes-d'Armor;285312
2008;Deux-Sèvres;187336
2008;Dordogne;199718
2008;Doubs;280922
2008;Drôme;245081
2008;Essonne;665142
2008;Eure;306854
2008;Eure-et-Loir;223952
2008;Finistère;460159
2008;Gard;356493
2008;Gers;90893
2008;Gironde;776232
2008;Guadeloupe;209337
2008;Guyane;108922
2008;Haut-Rhin;408160
2008;Haute-Garonne;688801
2008;Haute-Loire;111725
2008;Haute-Marne;96109
2008;Haute-Savoie;395455
2008;Haute-Saône;123843
2008;Haute-Vienne;195335
2008;Hautes-Alpes;68755
2008;Hautes-Pyrénées;114656
2008;Hauts-de-Seine;885069
2008;Hérault;534973
2008;Ille-et-Vilaine;523289
2008;Indre;114678
2008;Indre-et-Loire;308269
2008;Isère;638794
2008;Jura;132117
2008;La Réunion;435589
2008;Landes;189772
2008;Loir-et-Cher;163436
2008;Loire;378756
2008;Loire-Atlantique;674997
2008;Loiret;344916
2008;Lot;83810
2008;Lot-et-Garonne;161663
2008;Lozère;39591
2008;Maine-et-Loire;404596
2008;Manche;250173
2008;Marne;308789
2008;Martinique;210166
2008;Mayenne;153928
2008;Meurthe-et-Moselle;396320
2008;Meuse;102187
2008;Morbihan;362449
2008;Moselle;578253
2008;Nièvre;108082
2008;Nord;1389840
2008;Oise;438652
2008;Orne;145969
2008;Paris;1348609
2008;Pas-de-Calais;775970
2008;Puy-de-Dôme;340983
2008;Pyrénées-Atlantiques;334521
2008;Pyrénées-Orientales;217589
2008;Rhône;916740
2008;Sarthe;288182
2008;Savoie;219057
2008;Saône-et-Loire;278019
2008;Seine-Maritime;665817
2008;Seine-Saint-Denis;849748
2008;Seine-et-Marne;728263
2008;Somme;304043
2008;Tarn;184718
2008;Tarn-et-Garonne;120390
2008;Territoire de Belfort;76774
2008;Val-d'Oise;649494
2008;Val-de-Marne;741083
2008;Var;495151
2008;Vaucluse;276741
2008;Vendée;313898
2008;Vienne;224386
2008;Vosges;197154
2008;Yonne;173134
2008;Yvelines;767291
2010;Ain;316147
2010;Aisne;279469
2010;Allier;166902
2010;Alpes-Maritimes;539299
2010;Alpes-de-Haute-Provence;78108
2010;Ardennes;147331
2010;Ardèche;155386
2010;Ariège;75032
2010;Aube;155036
2010;Aude;173501
2010;Aveyron;133173
2010;Bas-Rhin;606158
2010;Bouches-du-Rhône;1032662
2010;Calvados;355202
2010;Cantal;73797
2010;Charente;176440
2010;Charente-Maritime;302667
2010;Cher;154133
2010;Corrèze;118875
2010;Corse;162772
2010;Creuse;58102
2010;Côte-d'Or;278267
2010;Côtes-d'Armor;284364
2010;Deux-Sèvres;185986
2010;Dordogne;198467
2010;Doubs;278311
2010;Drôme;244671
2010;Essonne;662296
2010;Eure;307929
2010;Eure-et-Loir;222210
2010;Finistère;455023
2010;Gard;358499
2010;Gers;90693
2010;Gironde;779002
2010;Guadeloupe;208603
2010;Guyane;112911
2010;Haut-Rhin;404579
2010;Haute-Garonne;695428
2010;Haute-Loire;110669
2010;Haute-Marne;92946
2010;Haute-Savoie;403490
2010;Haute-Saône;121912
2010;Haute-Vienne;190599
2010;Hautes-Alpes;68642
2010;Hautes-Pyrénées;112912
2010;Hauts-de-Seine;885128
2010;Hérault;542181
2010;Ille-et-Vilaine;526924
2010;Indre;112117
2010;Indre-et-Loire;305463
2010;Isère;640408
2010;Jura;130456
2010;La Réunion;444392
2010;Landes;191836
2010;Loir-et-Cher;161677
2010;Loire;374463
2010;Loire-Atlantique;677493
2010;Loiret;340197
2010;Lot;82669
2010;Lot-et-Garonne;160732
2010;Lozère;38630
2010;Maine-et-Loire;404860
2010;Manche;246678
2010;Marne;303862
2010;Martinique;207712
2010;Mayenne;152314
2010;Meurthe-et-Moselle;393953
2010;Meuse;100884
2010;Morbihan;360105
2010;Moselle;574586
2010;Nièvre;105479
2010;Nord;1379631
2010;Oise;434213
2010;Orne;142346
2010;Paris;1349948
2010;Pas-de-Calais;768180
2010;Puy-de-Dôme;334256
2010;Pyrénées-Atlantiques;333967
2010;Pyrénées-Orientales;216710
2010;Rhône;927967
2010;Sarthe;285704
2010;Savoie;219116
2010;Saône-et-Loire;274135
2010;Seine-Maritime;657588
2010;Seine-Saint-Denis;850071
2010;Seine-et-Marne;730830
2010;Somme;300512
2010;Tarn;183644
2010;Tarn-et-Garonne;121488
2010;Territoire de Belfort;76420
2010;Val-d'Oise;647324
2010;Val-de-Marne;743648
2010;Var;491087
2010;Vaucluse;275365
2010;Vendée;314889
2010;Vienne;222345
2010;Vosges;193033
2010;Yonne;170582
2010;Yvelines;758431
2011;Ain;317701
2011;Aisne;277454
2011;Allier;164984
2011;Alpes-Maritimes;539098
2011;Alpes-de-Haute-Provence;77798
2011;Ardennes;145667
2011;Ardèche;155007
2011;Ariège;74171
2011;Aube;153909
2011;Aude;173811
2011;Aveyron;131528
2011;Bas-Rhin;603421
2011;Bouches-du-Rhône;1027410
2011;Calvados;352319
2011;Cantal;72483
2011;Charente;175313
2011;Charente-Maritime;301950
2011;Cher;153166
2011;Corrèze;117661
2011;Corse;164125
2011;Creuse;57153
2011;Côte-d'Or;276740
2011;Côtes-d'Armor;282759
2011;Deux-Sèvres;184591
2011;Dordogne;196721
2011;Doubs;276534
2011;Drôme;244301
2011;Essonne;663126
2011;Eure;305626
2011;Eure-et-Loir;220994
2011;Finistère;453222
2011;Gard;360410
2011;Gers;90268
2011;Gironde;780538
2011;Guadeloupe;208319
2011;Guyane;117283
2011;Haut-Rhin;402965
2011;Haute-Garonne;700214
2011;Haute-Loire;110193
2011;Haute-Marne;91634
2011;Haute-Savoie;406894
2011;Haute-Saône;120819
2011;Haute-Vienne;189140
2011;Hautes-Alpes;69259
2011;Hautes-Pyrénées;112025
2011;Hauts-de-Seine;886492
2011;Hérault;545295
2011;Ille-et-Vilaine;528089
2011;Indre;110720
2011;Indre-et-Loire;303920
2011;Isère;640824
2011;Jura;129636
2011;La Réunion;448967
2011;Landes;192276
2011;Loir-et-Cher;160890
2011;Loire;371365
2011;Loire-Atlantique;680774
2011;Loiret;338238
2011;Lot;81972
2011;Lot-et-Garonne;158925
2011;Lozère;38304
2011;Maine-et-Loire;403292
2011;Manche;245544
2011;Marne;301995
2011;Martinique;205638
2011;Mayenne;150761
2011;Meurthe-et-Moselle;391081
2011;Meuse;99040
2011;Morbihan;359215
2011;Moselle;570864
2011;Nièvre;103272
2011;Nord;1374082
2011;Oise;431813
2011;Orne;140104
2011;Paris;1347105
2011;Pas-de-Calais;762150
2011;Puy-de-Dôme;333603
2011;Pyrénées-Atlantiques;332713
2011;Pyrénées-Orientales;216742
2011;Rhône;936019
2011;Sarthe;283395
2011;Savoie;219774
2011;Saône-et-Loire;271962
2011;Seine-Maritime;653339
2011;Seine-Saint-Denis;850124
2011;Seine-et-Marne;733009
2011;Somme;298778
2011;Tarn;183363
2011;Tarn-et-Garonne;122078
2011;Territoire de Belfort;76147
2011;Val-d'Oise;647280
2011;Val-de-Marne;743137
2011;Var;491329
2011;Vaucluse;274734
2011;Vendée;315342
2011;Vienne;220305
2011;Vosges;191172
2011;Yonne;168427
2011;Yvelines;753989
2012;Ain;320535
2012;Aisne;274959
2012;Allier;163843
2012;Alpes-Maritimes;538491
2012;Alpes-de-Haute-Provence;77698
2012;Ardennes;144263
2012;Ardèche;154482
2012;Ariège;73557
2012;Aube;153422
2012;Aude;173391
2012;Aveyron;130777
2012;Bas-Rhin;602700
2012;Bouches-du-Rhône;1027882
2012;Calvados;351605
2012;Cantal;71265
2012;Charente;174492
2012;Charente-Maritime;299779
2012;Cher;152398
2012;Corrèze;116152
2012;Corse;164619
2012;Creuse;56113
2012;Côte-d'Or;276614
2012;Côtes-d'Armor;281000
2012;Deux-Sèvres;184149
2012;Dordogne;195543
2012;Doubs;276269
2012;Drôme;244543
2012;Essonne;667276
2012;Eure;304547
2012;Eure-et-Loir;219832
2012;Finistère;451013
2012;Gard;362233
2012;Gers;89698
2012;Gironde;787818
2012;Guadeloupe;206885
2012;Guyane;119741
2012;Haut-Rhin;401630
2012;Haute-Garonne;709032
2012;Haute-Loire;110104
2012;Haute-Marne;90921
2012;Haute-Savoie;410814
2012;Haute-Saône;119769
2012;Haute-Vienne;187693
2012;Hautes-Alpes;69507
2012;Hautes-Pyrénées;110058
2012;Hauts-de-Seine;888179
2012;Hérault;552335
2012;Ille-et-Vilaine;529583
2012;Indre;108544
2012;Indre-et-Loire;303356
2012;Isère;641858
2012;Jura;128607
2012;La Réunion;451815
2012;Landes;193382
2012;Loir-et-Cher;160042
2012;Loire;371390
2012;Loire-Atlantique;685662
2012;Loiret;337155
2012;Lot;81020
2012;Lot-et-Garonne;158541
2012;Lozère;37878
2012;Maine-et-Loire;402481
2012;Manche;243253
2012;Marne;300053
2012;Martinique;202028
2012;Mayenne;150281
2012;Meurthe-et-Moselle;389183
2012;Meuse;97836
2012;Morbihan;358547
