sexe,prenom,annee,naissances
1,_TOTAL,1943,290910
1,_TOTAL,1945,297095
1,_TOTAL,1946,443135
1,_TOTAL,1947,456945
1,_TOTAL,1950,451305
1,_TOTAL,1951,433485
1,_TOTAL,1952,432120
1,_TOTAL,1953,423365
1,_TOTAL,1954,427190
1,_TOTAL,1955,423585
1,_TOTAL,1957,429540
1,_TOTAL,1958,427140
1,_TOTAL,1960,432355
1,_TOTAL,1961,441235
1,_TOTAL,1962,438665
1,_TOTAL,1963,456990
1,_TOTAL,1964,462415
1,_TOTAL,1965,456205
1,_TOTAL,1966,455060
1,_TOTAL,1967,442425
1,_TOTAL,1968,439900
1,_TOTAL,1969,442230
1,_TOTAL,1970,446525
1,_TOTAL,1971,461890
1,_TOTAL,1972,459900
1,_TOTAL,1973,448000
1,_TOTAL,1974,418780
1,_TOTAL,1975,388325
1,_TOTAL,1976,374095
1,_TOTAL,1977,386010
1,_TOTAL,1978,380885
1,_TOTAL,1979,391565
1,_TOTAL,1980,413090
1,_TOTAL,1981,415295
1,_TOTAL,1982,410765
1,_TOTAL,1983,385795
1,_TOTAL,1984,391325
1,_TOTAL,1985,396080
1,_TOTAL,1986,400635
1,_TOTAL,1987,395375
1,_TOTAL,1988,397850
1,_TOTAL,1989,394785
1,_TOTAL,1990,394405
1,_TOTAL,1991,392205
1,_TOTAL,1992,384075
1,_TOTAL,1993,366175
1,_TOTAL,1994,365530
1,_TOTAL,1995,374020
1,_TOTAL,1996,377605
1,_TOTAL,1997,374370
1,_TOTAL,1998,378705
1,_TOTAL,1999,383190
1,_TOTAL,2000,399880
1,_TOTAL,2001,394335
1,_TOTAL,2002,389520
1,_TOTAL,2003,386810
1,_TOTAL,2004,389980
1,_TOTAL,2005,392220
2,_TOTAL,1943,284055
2,_TOTAL,1945,291625
2,_TOTAL,1946,420130
2,_TOTAL,1947,433125
2,_TOTAL,1950,430345
2,_TOTAL,1951,413230
2,_TOTAL,1952,412090
2,_TOTAL,1953,404015
2,_TOTAL,1954,406665
2,_TOTAL,1955,406205
2,_TOTAL,1957,410610
2,_TOTAL,1958,409365
2,_TOTAL,1960,412475
2,_TOTAL,1961,422145
2,_TOTAL,1962,419865
2,_TOTAL,1963,437950
2,_TOTAL,1964,441595
2,_TOTAL,1965,435985
2,_TOTAL,1966,434800
2,_TOTAL,1967,422425
2,_TOTAL,1968,420370
2,_TOTAL,1969,421950
2,_TOTAL,1970,423645
2,_TOTAL,1971,439465
2,_TOTAL,1972,436095
2,_TOTAL,1973,425475
2,_TOTAL,1974,397580
2,_TOTAL,1975,369905
2,_TOTAL,1976,356085
2,_TOTAL,1977,366235
2,_TOTAL,1978,362050
2,_TOTAL,1979,372115
2,_TOTAL,1980,393070
2,_TOTAL,1981,394280
2,_TOTAL,1982,390205
2,_TOTAL,1983,367305
2,_TOTAL,1984,373490
2,_TOTAL,1985,377290
2,_TOTAL,1986,381325
2,_TOTAL,1987,376860
2,_TOTAL,1988,378335
2,_TOTAL,1989,376770
2,_TOTAL,1990,373905
2,_TOTAL,1991,372715
2,_TOTAL,1992,364085
2,_TOTAL,1993,348010
2,_TOTAL,1994,347240
2,_TOTAL,1995,355985
2,_TOTAL,1996,356200
2,_TOTAL,1997,352890
2,_TOTAL,1998,358545
2,_TOTAL,1999,361395
2,_TOTAL,2000,377415
2,_TOTAL,2001,374295
2,_TOTAL,2002,368330
2,_TOTAL,2003,367160
2,_TOTAL,2004,368320
2,_TOTAL,2005,371090
1,ABDELLAH,1950,5
1,ABDELLAH,1952,5
1,ABDELLAH,1954,5
1,ABDELLAH,1955,5
1,ABDELLAH,1957,10
1,ABDELLAH,1958,5
1,ABDELLAH,1960,10
1,ABDELLAH,1961,15
1,ABDELLAH,1962,10
1,ABDELLAH,1963,10
1,ABDELLAH,1964,10
1,ABDELLAH,1965,15
1,ABDELLAH,1966,15
1,ABDELLAH,1967,20
1,ABDELLAH,1968,15
1,ABDELLAH,1969,30
1,ABDELLAH,1970,25
1,ABDELLAH,1971,30
1,ABDELLAH,1972,35
1,ABDELLAH,1973,45
1,ABDELLAH,1974,45
1,ABDELLAH,1975,40
1,ABDELLAH,1976,45
1,ABDELLAH,1977,40
1,ABDELLAH,1978,45
1,ABDELLAH,1979,45
1,ABDELLAH,1980,45
1,ABDELLAH,1981,60
1,ABDELLAH,1982,50
1,ABDELLAH,1983,50
1,ABDELLAH,1984,60
1,ABDELLAH,1985,70
1,ABDELLAH,1986,55
1,ABDELLAH,1987,50
1,ABDELLAH,1988,50
1,ABDELLAH,1989,40
1,ABDELLAH,1990,40
1,ABDELLAH,1991,35
1,ABDELLAH,1992,35
1,ABDELLAH,1993,35
1,ABDELLAH,1994,40
1,ABDELLAH,1995,40
1,ABDELLAH,1996,30
1,ABDELLAH,1997,40
1,ABDELLAH,1998,35
1,ABDELLAH,1999,25
1,ABDELLAH,2000,45
1,ABDELLAH,2001,45
1,ABDELLAH,2002,35
1,ABDELLAH,2003,60
1,ABDELLAH,2004,45
1,ABDELLAH,2005,55
1,ADONIS,1943,5
1,ADONIS,1952,5
1,ADONIS,1954,5
1,ADONIS,1962,5
1,ADONIS,1967,5
1,ADONIS,1968,5
1,ADONIS,1970,5
1,ADONIS,1972,5
1,ADONIS,1974,5
1,ADONIS,1977,5
1,ADONIS,1978,5
1,ADONIS,1979,5
1,ADONIS,1982,5
1,ADONIS,1983,5
1,ADONIS,1984,5
1,ADONIS,1985,5
1,ADONIS,1986,5
1,ADONIS,1987,5
1,ADONIS,1989,5
1,ADONIS,1990,5
1,ADONIS,1991,5
1,ADONIS,1992,10
1,ADONIS,1993,5
1,ADONIS,1994,10
1,ADONIS,1995,10
1,ADONIS,1996,10
1,ADONIS,1997,5
1,ADONIS,1998,10
1,ADONIS,1999,20
1,ADONIS,2000,25
1,ADONIS,2001,20
1,ADONIS,2002,30
1,ADONIS,2003,35
1,ADONIS,2004,40
1,ADONIS,2005,60
1,ADRIEN,1943,175
1,ADRIEN,1945,165
